,id,demand
0,B32060,13
1,H32006,8
2,M32084,11
3,A32054,9
4,M32046,9
5,C32101,9
6,M32059,15
7,D32004,28
8,N32003,5
9,K32002,-8
10,A32028,12
11,M32067,-10
12,D32050,-8
13,B32008,11
14,N32009,8
15,D32018,11
16,C32002,9
17,D32013,7
18,D32046,9
19,B32013,12
20,D32028,-14
21,V32011,-12
22,L32004,-8
23,N32011,-6
24,D32000,-12
25,A32046,-20
26,M32012,-9
27,M32011,-10
28,D32019,-10
29,C32099,9
30,D32057,-9
31,C32077,9
32,K32006,-8
33,D32034,7
34,D32009,-20
35,K32001,-10
36,D32010,-16
37,M32031,8
38,A32022,9
39,M32034,20
40,V32003,-8
41,A32000,12
42,C32051,-12
43,C32041,7
44,S32047,9
45,C32030,11
46,C32040,-12
47,V32006,-12
48,A32049,9
49,D32043,-10
50,M32017,-12
51,M32055,-10
52,M32023,8
53,M32024,9
54,D32026,9
55,B32003,22
56,B32033,12
57,C32021,9
58,V32013,-6
59,M32004,11
60,M32065,-10
61,M32009,-12
62,M32039,-12
63,D32006,-10
64,M32022,-16
65,D32020,-8
66,M32080,11
67,G32001,5
68,G32003,8
69,K32012,-8
70,A32048,9
71,M32061,9
72,L32003,-8
73,C32050,7
74,M32006,13
75,M32070,24
76,M32071,13
77,M32005,17
78,C32023,-16
79,A32025,-32
80,D32001,-12
81,B32000,19
82,C32022,-8
83,D32031,-8
84,M32076,-8
85,B32061,8
86,B32036,12
87,M32003,20
88,M32053,16
89,D32042,9
90,C32107,16
91,M32029,-16
92,D32012,16
93,C32007,9
94,A32026,16
95,M32035,9
96,E32007,7
97,C32036,12
98,B32014,9
99,B32007,20
100,D32048,-8
101,M32047,-10
102,S32020,-8
103,C32017,-12
104,D32023,16
105,B32063,8
106,R32001,8
107,A32013,9
108,A32042,23
109,V32007,12
110,S32011,7
111,C32000,-10
112,B32056,9
113,C32056,-10
114,A32053,-21
115,M32057,-10
116,M32050,9
117,D32021,-12
118,C32042,12
119,C32081,9
120,C32067,-10
121,C32034,12
122,W32002,-8
123,D32022,-18
124,B32059,9
